vehicleNo,lng,lat,CLUSTER
ԥLT0528,114.002553,33.600988,8
ԥLT0529,114.032814,33.579395,0
ԥLT0530,114.002568,33.589062,1
ԥLT0532,113.994580,33.548289,-1
ԥLT0533,114.032094,33.569462,0
ԥLT0534,114.036588,33.570273,0
ԥLT0535,114.023233,33.566055,0
ԥLT0536,114.034371,33.573241,0
ԥLT0537,114.011761,33.587496,1
ԥLT0538,113.971717,33.572072,-1
ԥLT0539,114.019780,33.601577,-1
ԥLT0540,114.078364,33.590830,-1
ԥLT0541,113.959976,33.575262,6
ԥLT0542,114.082385,33.587819,-1
ԥLT0543,114.013764,33.569918,0
ԥLT0544,114.039074,33.561270,14
ԥLT0546,114.019888,33.559421,0
ԥLT0547,114.022224,33.544299,9
ԥLT0548,114.065866,33.566905,2
ԥLT0549,114.030642,33.577326,0
ԥLT0550,113.918850,33.606514,-1
ԥLT0551,113.949123,33.580165,-1
ԥLT0552,114.054769,33.594036,-1
ԥLT0553,114.033023,33.579395,0
ԥLT0554,114.007639,33.556940,10
ԥLT0555,114.027335,33.572226,0
ԥLT0556,114.044767,33.566458,-1
ԥLT0557,114.021266,33.570061,0
ԥLT0558,114.054833,33.558426,-1
ԥLT0560,114.032855,33.577475,0
ԥLT0561,114.008478,33.554252,10
ԥLT0562,113.918244,33.606983,-1
ԥLT0563,114.016882,33.560764,0
ԥLT0564,114.025001,33.585682,-1
ԥLT0565,114.053980,33.584937,4
ԥLT0566,114.039144,33.585347,-1
ԥLT0567,114.003906,33.585754,1
ԥLT0568,113.999741,33.598354,8
ԥLT0569,114.067624,33.631559,-1
ԥLT0570,114.025570,33.543371,9
ԥLT0571,114.025604,33.565801,0
ԥLT0572,114.032787,33.577881,0
ԥLT0573,114.057625,33.571707,2
ԥLT0574,114.037360,33.572188,0
ԥLT0575,114.032913,33.569481,0
ԥLT0576,114.017967,33.596545,7
ԥLT0577,114.018265,33.596695,7
ԥLT0578,114.027781,33.571022,0
ԥLT0579,114.020751,33.564290,0
ԥLT0580,114.023447,33.568320,0
ԥLT0581,114.045944,33.582300,-1
ԥLT0582,113.998977,33.577499,-1
ԥLT0583,113.994033,33.575933,-1
ԥLT0584,114.030020,33.571235,0
ԥLT0585,113.991878,33.585560,-1
ԥLT0586,114.001826,33.573281,-1
ԥLT0587,114.011797,33.600711,7
ԥLT0588,114.126040,33.521154,-1
ԥLT0590,114.035026,33.573059,0
ԥLT0591,113.968368,33.575821,-1
ԥLT0592,114.011997,33.585826,1
ԥLT0593,114.044816,33.584899,-1
ԥLT0594,113.990343,33.562391,-1
ԥLT0595,114.097579,33.585639,-1
ԥLT0596,113.995280,33.549828,-1
ԥLT0597,114.024963,33.596951,-1
ԥLT0598,113.983564,33.598667,-1
ԥLT0599,114.055980,33.585327,4
ԥLT0600,114.028579,33.585337,5
ԥLT0601,114.067654,33.563972,15
ԥLT0602,114.009683,33.605529,-1
ԥLT0603,113.998235,33.561575,11
ԥLT0604,114.021883,33.559835,0
ԥLT0605,114.014456,33.553247,-1
ԥLT0606,114.029456,33.579460,0
ԥLT0607,114.058824,33.565957,2
ԥLT0608,114.012024,33.592794,1
ԥLT0609,113.973436,33.553298,-1
ԥLT0610,114.019300,33.591182,3
ԥLT0611,113.970101,33.585379,-1
ԥLT0612,114.044247,33.584329,-1
ԥLT0613,114.019826,33.593574,-1
ԥLT0614,114.003062,33.562355,-1
ԥLT0615,114.004850,33.586497,1
ԥLT0616,114.009295,33.587660,1
ԥLT0617,114.003214,33.584370,1
ԥLT0618,114.032217,33.576716,0
ԥLT0619,114.019520,33.556863,0
ԥLT0620,114.029737,33.571188,0
ԥLT0621,114.076569,33.566134,-1
ԥLT0622,114.030100,33.570458,0
ԥLT0623,113.981010,33.592310,-1
ԥLT0624,114.049846,33.569853,12
ԥLT0625,114.083880,33.580394,-1
ԥLT0626,114.009600,33.590093,1
ԥLT0627,114.048560,33.566394,-1
ԥLT0628,114.035886,33.612289,-1
ԥLT0629,114.009469,33.587480,1
ԥLT0630,114.005465,33.587999,1
ԥLT0631,114.096695,33.594060,-1
ԥLT0632,114.030233,33.579902,0
ԥLT0634,114.006056,33.596198,1
ԥLT0635,114.039875,33.592524,-1
ԥLT0636,113.999179,33.600856,8
ԥLT0637,114.016703,33.588882,3
ԥLT0638,114.010647,33.598038,7
ԥLT0639,113.998890,33.569330,-1
ԥLT0640,114.020461,33.573235,0
ԥLT0641,113.959986,33.575837,6
ԥLT0642,114.101866,33.578534,-1
ԥLT0643,114.021281,33.578347,-1
ԥLT0644,114.011979,33.586391,1
ԥLT0645,114.024019,33.543380,9
ԥLT0646,114.009637,33.576533,-1
ԥLT0648,114.040887,33.573356,0
ԥLT0649,114.046406,33.582619,-1
ԥLT0650,114.001969,33.592875,1
ԥLT0651,114.119203,33.571913,-1
ԥLT0652,114.012224,33.588419,1
ԥLT0653,114.055022,33.564428,-1
ԥLT0654,114.021986,33.566545,0
ԥLT0655,114.009057,33.586564,1
ԥLT0657,114.007207,33.594363,1
ԥLT0658,114.063890,33.560862,15
ԥLT0659,113.993579,33.550452,-1
ԥLT0660,113.988631,33.595784,-1
ԥLT0662,114.063809,33.575890,-1
ԥLT0663,113.967226,33.569393,-1
ԥLT0664,114.014340,33.594121,7
ԥLT0665,114.060103,33.584710,-1
ԥLT0666,113.959795,33.573496,6
ԥLT0667,113.996327,33.576006,-1
ԥLT0668,114.054692,33.569239,2
ԥLT0669,114.029021,33.572003,0
ԥLT0670,113.964160,33.547348,-1
ԥLT0671,114.047571,33.571788,12
ԥLT0672,114.014440,33.604794,-1
ԥLT0673,114.017757,33.588804,3
ԥLT0674,114.000160,33.583171,-1
ԥLT0675,114.069449,33.567834,-1
ԥLT0676,114.065325,33.570243,2
ԥLT0678,114.026187,33.591522,5
ԥLT0679,114.042707,33.573124,-1
ԥLT0680,114.068291,33.566433,-1
ԥLT0681,114.002690,33.600640,8
ԥLT0683,114.034018,33.559270,-1
ԥLT0684,114.035905,33.575138,0
ԥLT0686,113.996494,33.562156,11
